MSSubClass,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearRemodAdd,RoofStyle,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20,70.04995836802665,8544,0.6666666666666666,1.0,0.5,1.0,19,2,1.0,2,5,6,2006,1,6,2,0.0,0.5,0.5,1,0.6,0.6,0.25,0.16666666666666666,0,0,1228,1,0.75,1,4,1228,0,1228,0,0,1,1,3,1,0.75,6,1.0,0,0.6922077922077988,2,1966.0,0.3333333333333333,1,271,0.6,0.6,1.0,0,65,0,0,0.75,0,6,2008,8,1.0,149350
20,85.0,11049,1.0,1.0,0.75,1.0,5,2,1.0,2,8,5,2007,1,13,2,0.0,0.75,0.5,2,1.0,0.6,0.75,0.16666666666666666,0,0,1234,1,1.0,1,4,1234,0,1234,0,0,2,0,3,1,0.75,7,1.0,0,0.6922077922077988,2,2007.0,0.6666666666666666,2,484,0.6,0.6,1.0,0,30,0,0,0.7348754448398577,0,1,2008,8,1.0,179900
20,70.0,10552,0.6666666666666666,1.0,1.0,1.0,12,2,1.0,2,5,5,1959,3,3,2,0.0,0.5,0.5,1,0.6,0.6,0.25,0.5,1018,0,380,1,0.75,1,4,1700,0,1700,0,1,1,1,4,1,0.75,6,1.0,1,0.8,2,1959.0,0.6666666666666666,2,447,0.6,0.6,1.0,0,38,0,0,0.7348754448398577,0,4,2010,8,1.0,165500
120,60.0,7313,1.0,1.0,1.0,1.0,16,2,0.25,2,9,5,2005,3,8,1,246.0,1.0,0.5,2,1.0,0.6,0.25,1.0,1153,0,408,1,1.0,1,4,1561,0,1561,1,0,2,0,2,1,1.0,6,1.0,1,0.8,2,2005.0,1.0,2,556,0.6,0.6,1.0,203,47,0,0,0.7348754448398577,0,8,2007,8,1.0,277500
60,108.0,13418,1.0,1.0,1.0,1.0,16,2,1.0,5,8,5,2005,1,13,3,132.0,0.75,0.5,2,1.0,0.6,0.75,0.16666666666666666,0,0,1117,1,1.0,1,4,1132,1320,2452,0,0,3,1,4,1,0.75,9,1.0,1,0.8,4,2004.0,1.0,3,691,0.6,0.6,1.0,113,32,0,0,0.7348754448398577,0,9,2006,8,1.0,309000
20,112.0,10859,1.0,1.0,0.75,1.0,5,2,1.0,2,5,5,1995,1,13,2,0.0,0.5,0.5,2,0.8,0.6,0.25,0.16666666666666666,0,0,1097,1,1.0,1,4,1097,0,1097,0,0,1,1,3,1,0.5,6,1.0,0,0.6922077922077988,2,1995.0,0.3333333333333333,2,672,0.6,0.6,1.0,392,64,0,0,0.7348754448398577,0,6,2009,8,1.0,145000
20,74.0,8532,1.0,1.0,1.0,1.0,12,2,1.0,2,5,6,1990,3,14,1,650.0,0.5,0.5,1,0.6,0.6,0.25,0.5,1213,0,84,1,0.75,1,4,1297,0,1297,0,1,1,0,3,1,0.5,5,1.0,1,0.6,2,1954.0,1.0,2,498,0.6,0.6,1.0,0,0,0,0,0.7348754448398577,0,10,2009,8,1.0,153000
20,68.0,7922,1.0,1.0,1.0,1.0,12,2,1.0,2,5,7,2007,1,13,2,0.0,0.5,0.75,1,0.6,0.6,0.25,1.0,731,0,326,1,0.5,1,4,1057,0,1057,1,0,1,0,3,1,0.75,5,1.0,0,0.6922077922077988,6,1953.0,0.3333333333333333,1,246,0.6,0.6,1.0,0,52,0,0,0.7348754448398577,0,1,2010,8,0.75,109000
90,65.0,6040,1.0,1.0,1.0,1.0,7,2,0.9359070464767616,2,4,5,1955,1,10,2,0.0,0.5,0.5,2,0.7159522136331681,0.6022487702038073,0.4184247538677918,0.6063480908877932,0,0,0,1,0.5,0,2,1152,0,1152,0,0,2,0,2,2,0.25,6,1.0,0,0.6922077922077988,0,1978.5061638868744,0.6055112400290074,0,0,0.5950688905003757,0.5947788252356914,0.0,0,0,0,0,0.7348754448398577,0,6,2008,8,0.8823832417582418,82000
20,84.0,8658,1.0,1.0,1.0,1.0,12,2,1.0,2,6,5,1965,1,14,1,101.0,0.5,0.5,1,0.6,0.6,0.25,0.5,643,0,445,1,1.0,1,4,1324,0,1324,0,0,2,0,3,1,0.5,6,1.0,1,0.6,2,1965.0,0.6666666666666666,2,440,0.6,0.6,1.0,0,138,0,0,0.5,0,12,2006,8,0.75,160000
20,115.0,16905,1.0,1.0,1.0,1.0,23,2,1.0,2,5,6,1959,1,13,2,0.0,0.5,0.75,1,0.6,0.6,1.0,0.6666666666666666,967,0,383,1,0.75,1,4,1328,0,1328,0,1,1,1,2,1,0.5,5,1.0,2,0.8,2,1959.0,0.6666666666666666,1,308,0.6,0.6,0.5,0,104,0,0,0.7348754448398577,0,7,2007,8,1.0,170000
85,70.04995836802665,9180,0.6666666666666666,1.0,0.5,1.0,20,2,1.0,6,5,7,1983,1,6,2,0.0,0.5,0.5,1,0.8,0.6,0.75,0.8333333333333334,747,93,0,1,0.75,1,4,884,0,884,1,0,1,0,2,1,0.75,5,1.0,0,0.6922077922077988,2,1983.0,0.6666666666666666,2,504,0.6,0.8,1.0,240,0,0,0,0.75,0,12,2007,8,1.0,144000
20,70.04995836802665,9200,0.6666666666666666,1.0,0.5,1.0,5,2,1.0,2,5,6,1980,3,13,2,0.0,0.5,0.5,1,0.8,0.6,0.75,0.3333333333333333,280,491,167,1,0.5,1,4,938,0,938,1,0,1,0,3,1,0.5,5,1.0,0,0.6922077922077988,6,1977.0,0.3333333333333333,1,308,0.6,0.6,1.0,145,0,0,0,0.75,0,7,2008,8,1.0,130250
20,70.0,7945,1.0,1.0,1.0,1.0,12,2,1.0,2,5,6,1959,1,14,2,0.0,0.5,0.5,1,0.6,0.6,0.25,0.8333333333333334,179,506,465,1,1.0,1,0,1150,0,1150,1,0,1,0,3,1,0.5,6,1.0,0,0.6922077922077988,2,1959.0,0.6666666666666666,1,300,0.6,0.6,1.0,0,0,0,0,0.7348754448398577,0,5,2006,8,1.0,141000
120,61.0,7658,1.0,1.0,1.0,1.0,16,2,0.25,2,9,5,2005,3,8,1,412.0,1.0,0.5,2,1.0,0.6,0.25,1.0,456,0,1296,1,1.0,1,4,1752,0,1752,1,0,2,0,2,1,1.0,6,1.0,1,0.8,2,2005.0,0.6666666666666666,2,576,0.6,0.6,1.0,196,82,0,0,0.7348754448398577,0,2,2010,8,1.0,319900
50,48.0,12822,0.6666666666666666,1.0,0.5,1.0,11,2,1.0,0,7,5,2003,1,13,2,0.0,0.75,0.5,2,1.0,0.6,0.25,1.0,1351,0,83,1,1.0,1,4,1518,631,2149,1,0,1,1,1,1,0.75,6,1.0,1,1.0,2,2003.0,0.6666666666666666,2,670,0.6,0.6,1.0,168,43,0,198,0.7348754448398577,0,8,2009,8,0.75,239686
20,84.0,11096,1.0,1.0,1.0,1.0,21,2,1.0,2,8,5,2006,1,13,2,0.0,0.75,0.5,2,0.8,0.6,0.75,1.0,24,0,1632,1,1.0,1,4,1656,0,1656,0,0,2,0,3,1,0.75,7,1.0,0,0.6922077922077988,2,2006.0,0.6666666666666666,3,826,0.6,0.6,1.0,0,146,0,0,0.7348754448398577,0,7,2007,8,1.0,249700
20,66.0,7742,1.0,1.0,1.0,1.0,19,2,1.0,2,5,7,1966,1,6,2,0.0,0.5,0.5,1,0.6,0.6,0.25,0.6666666666666666,763,0,192,1,1.0,1,4,955,0,955,1,0,1,0,3,1,0.5,6,1.0,0,0.6922077922077988,2,1966.0,0.3333333333333333,1,386,0.6,0.6,1.0,0,0,0,0,0.75,0,1,2007,8,1.0,127000
60,70.04995836802665,13869,0.3333333333333333,1.0,0.75,1.0,8,2,1.0,5,6,6,1997,1,13,2,0.0,0.5,0.5,2,0.8,0.6,0.75,1.0,182,0,612,1,0.75,1,4,794,676,1470,0,1,2,0,3,1,0.5,6,1.0,0,0.6922077922077988,2,1997.0,1.0,2,388,0.6,0.6,1.0,0,75,0,0,0.7348754448398577,0,7,2007,8,1.0,177000
80,60.0,7134,1.0,0.6666666666666666,1.0,0.5,12,2,1.0,7,5,5,1955,1,8,2,0.0,0.5,0.5,1,0.6,0.6,0.25,0.8333333333333334,384,0,0,1,0.5,1,4,1360,0,1360,0,0,1,0,3,1,0.5,6,0.8571428571428571,1,0.6,6,1962.0,0.3333333333333333,2,572,0.6,0.6,1.0,0,50,0,0,0.75,0,2,2007,8,1.0,130000
160,24.0,2645,1.0,1.0,1.0,1.0,21,2,0.9359070464767616,5,8,5,2000,1,8,1,456.0,0.75,0.5,2,0.8,0.6,0.25,1.0,649,0,321,1,1.0,1,4,983,756,1739,1,0,2,1,3,1,0.75,7,1.0,0,0.6922077922077988,2,1999.0,1.0,2,480,0.6,0.6,1.0,115,0,0,0,0.7348754448398577,0,8,2009,8,0.75,172500
60,89.0,11645,0.6666666666666666,1.0,0.75,1.0,5,2,1.0,5,7,5,2004,1,13,2,0.0,0.75,0.5,2,0.8,0.6,0.25,0.16666666666666666,0,0,860,1,1.0,1,4,860,860,1720,0,0,2,1,3,1,0.75,7,1.0,0,0.6922077922077988,2,2004.0,0.6666666666666666,2,565,0.6,0.6,1.0,0,70,0,0,0.7348754448398577,0,8,2006,8,1.0,196500
20,60.0,7200,1.0,0.6666666666666666,1.0,1.0,5,2,1.0,2,5,7,1972,1,6,2,0.0,0.5,0.5,1,0.6,0.6,0.75,0.8333333333333334,632,0,148,1,1.0,1,4,780,0,780,0,0,1,0,2,1,0.5,4,1.0,0,0.6922077922077988,6,1973.0,0.3333333333333333,1,352,0.6,0.6,1.0,196,0,0,0,0.75,0,1,2008,8,1.0,124900
20,63.0,13072,1.0,1.0,1.0,1.0,20,5,1.0,2,6,5,2004,1,13,2,0.0,0.5,0.5,2,0.8,0.6,0.25,0.8333333333333334,941,0,217,1,1.0,1,4,1158,0,1158,1,0,1,1,3,1,0.75,5,1.0,0,0.6922077922077988,6,2006.0,0.3333333333333333,2,576,0.6,0.6,1.0,0,50,0,0,0.7348754448398577,0,5,2006,6,0.0,158000
75,60.0,7200,1.0,1.0,1.0,1.0,9,2,1.0,4,5,7,1996,1,8,2,0.0,0.5,0.5,0,0.6,0.4,0.25,0.16666666666666666,0,0,530,1,0.5,0,4,581,530,1111,0,0,1,0,3,1,0.25,6,1.0,0,0.6922077922077988,6,1935.0,0.3333333333333333,1,288,0.6,0.6,0.0,0,0,144,0,0.7348754448398577,0,3,2007,8,1.0,101000
120,44.0,6442,0.6666666666666666,1.0,1.0,1.0,16,2,0.25,2,8,5,2006,1,13,3,178.0,0.75,0.5,2,0.8,0.8,0.5,1.0,24,0,1346,1,1.0,1,4,1370,0,1370,0,0,2,0,2,1,0.75,6,1.0,1,0.8,2,2006.0,0.6666666666666666,2,484,0.6,0.6,1.0,120,49,0,0,0.7348754448398577,0,10,2007,8,1.0,202500
70,50.0,10300,0.6666666666666666,0.6666666666666666,1.0,1.0,17,6,1.0,5,7,6,1950,1,12,2,0.0,0.5,0.5,0,0.6,0.6,0.25,0.16666666666666666,0,0,576,1,0.75,1,4,902,808,1710,0,0,2,0,3,1,0.5,9,1.0,0,0.6922077922077988,6,1990.0,0.3333333333333333,2,480,0.6,0.6,1.0,12,11,64,0,1.0,0,4,2010,8,1.0,140000
60,70.04995836802665,9375,1.0,1.0,1.0,1.0,5,2,1.0,5,7,5,1998,1,13,1,573.0,0.5,0.5,2,0.8,0.6,0.25,1.0,739,0,318,1,1.0,1,4,1057,977,2034,1,0,2,1,3,1,0.75,8,1.0,0,0.6922077922077988,2,1998.0,0.6666666666666666,2,645,0.6,0.6,1.0,576,36,0,0,1.0,0,2,2009,8,1.0,219500
60,76.0,9591,1.0,1.0,1.0,1.0,16,2,1.0,5,8,5,2005,1,13,1,344.0,0.75,0.5,2,1.0,0.6,0.75,0.16666666666666666,0,0,1143,1,1.0,1,4,1143,1330,2473,0,0,2,1,4,1,0.75,9,1.0,1,0.8,4,2004.0,0.6666666666666666,3,852,0.6,0.6,1.0,192,151,0,0,0.7348754448398577,0,10,2007,8,1.0,317000
20,70.04995836802665,19900,1.0,1.0,1.0,1.0,12,3,1.0,2,7,5,1989,1,10,1,287.0,0.5,0.5,1,0.8,0.6,1.0,1.0,912,0,1035,1,0.5,1,4,2207,0,2207,1,0,2,0,3,1,0.5,7,0.8571428571428571,1,0.8,2,1970.0,0.6666666666666666,2,576,0.6,0.6,1.0,301,0,0,0,0.7348754448398577,0,7,2010,8,1.0,180000
20,72.0,10665,0.6666666666666666,1.0,1.0,1.0,5,2,1.0,2,7,5,2003,1,13,1,167.0,0.75,0.5,2,0.8,0.6,0.75,1.0,1013,0,440,1,1.0,1,4,1479,0,1479,1,0,2,0,3,1,0.75,7,1.0,0,0.6922077922077988,2,2003.0,0.6666666666666666,2,558,0.6,0.6,1.0,144,29,0,0,0.7348754448398577,0,6,2007,8,1.0,226000
30,47.0,4608,1.0,1.0,0.75,1.0,17,0,1.0,2,4,6,1950,1,8,2,0.0,0.5,0.75,1,0.6,0.6,0.25,0.16666666666666666,0,0,747,1,0.5,1,4,747,0,747,0,0,1,0,2,1,0.5,4,1.0,0,0.6922077922077988,2,1945.0,0.3333333333333333,1,220,0.6,0.6,1.0,0,0,0,0,0.7348754448398577,0,6,2010,8,1.0,80000
50,81.0,15593,1.0,1.0,0.75,1.0,4,2,1.0,0,7,4,1953,1,0,2,0.0,0.75,0.5,1,0.6,0.6,0.25,0.6666666666666666,603,0,701,2,0.5,1,4,1304,983,2287,0,0,2,0,3,1,0.5,7,1.0,1,0.6,2,1953.0,1.0,2,667,0.6,0.6,1.0,0,21,114,0,0.7348754448398577,0,7,2006,8,1.0,225000
20,69.0,7599,1.0,1.0,0.75,1.0,11,2,1.0,2,4,6,2006,1,10,2,0.0,0.5,0.5,1,0.6,0.6,0.25,0.8333333333333334,565,0,280,1,0.5,1,4,845,0,845,1,0,1,0,2,1,0.5,4,1.0,0,0.6922077922077988,6,1987.0,0.3333333333333333,2,360,0.6,0.6,1.0,0,0,0,0,0.7348754448398577,0,6,2007,8,1.0,129500
60,74.0,10141,0.6666666666666666,1.0,0.75,1.0,8,2,1.0,5,7,5,1998,1,13,1,40.0,0.5,0.5,2,0.8,0.6,0.25,0.16666666666666666,0,0,832,1,0.75,1,4,885,833,1718,0,0,2,1,3,1,0.5,7,1.0,1,0.6,2,1998.0,1.0,2,427,0.6,0.6,1.0,0,94,0,291,0.7348754448398577,0,12,2009,8,1.0,185000
20,85.0,10200,1.0,1.0,1.0,1.0,12,2,1.0,2,5,7,2003,1,14,1,104.0,0.5,0.5,1,0.6,0.6,0.25,0.8333333333333334,320,362,404,1,0.75,1,4,1086,0,1086,1,0,1,0,3,1,0.5,6,1.0,0,0.6922077922077988,2,1989.0,0.3333333333333333,2,490,0.6,0.6,1.0,0,0,0,0,0.5,0,5,2010,8,1.0,144900
